Account,date,daily_pnl,daily_win_rate,daily_trade_count,avg_trade_size_usd,classification,value,long_short_ratio,sentiment_group,freq_segment,consistency_segment,next_day_abs_pnl
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,177,5089.718248587571,Extreme Greed,76.0,0.3369175615164245,Greed,High Frequency,Consistent,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,68,7976.664411764705,Extreme Greed,90.0,0.5367647019355537,Greed,High Frequency,Consistent,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,40,23734.5,Extreme Greed,83.0,0.5656108571691817,Greed,High Frequency,Consistent,21227.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,0.0,12,28186.666666666668,Extreme Greed,94.0,0.9289772700881328,Greed,High Frequency,Consistent,1603.1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,0.4444444444444444,27,17248.14814814815,Extreme Greed,79.0,1.8761904583219957,Greed,High Frequency,Consistent,132271.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,0.0,82,16058.536341463414,Extreme Greed,77.0,1.655999986752,Greed,High Frequency,Consistent,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,23,48561.68565217392,Extreme Greed,84.0,0.3814814800685871,Greed,High Frequency,Consistent,175611.00005600002
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,0.0,33,36736.36242424243,Greed,72.0,1.0353535301244772,Greed,High Frequency,Consistent,71393.964098
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,0.04946236559139785,465,11410.954021505377,Extreme Greed,77.0,1.158402202261154,Greed,High Frequency,Consistent,40218.599998
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,0.5490196078431373,51,9400.588039215687,Extreme Greed,76.0,1.3482142833067603,Greed,High Frequency,Consistent,76710.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,0.9,10,185847.0,Greed,60.0,1.713991766020593,Greed,High Frequency,Consistent,101011.685664
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,0.30512514898688914,839,23593.019856972587,Fear,44.0,0.846392551709548,Fear,High Frequency,Consistent,375620.270243
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,0.15630885122410546,531,10576.687156308852,Greed,72.0,0.8349159964682863,Greed,High Frequency,Consistent,44400.9058
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,0.37142857142857144,210,26585.06338095238,Neutral,54.0,1.1332236823466715,Neutral,High Frequency,Consistent,30897.0887
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,0.9361702127659575,141,10161.056241134751,Neutral,46.0,1.273809520018424,Neutral,High Frequency,Consistent,55086.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,0.3333333333333333,48,32032.5,Fear,43.0,0.680529299280663,Fear,High Frequency,Consistent,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,6,134600.00166666668,Neutral,47.0,0.7448559655455639,Neutral,High Frequency,Consistent,10152.12224
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,0.5254237288135594,59,27178.041694915253,Neutral,49.0,1.3786531125037471,Neutral,High Frequency,Consistent,115445.395538
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,0.4246575342465753,219,13233.776894977169,Fear,25.0,2.107462685518675,Fear,High Frequency,Consistent,115287.0
